순번,취업일자,연령,장애유형,중증여부,근무지역,취업직종대분류
10374,2022-01-01,50,지체장애,경증,인천 계양구,경영·행정·사무직
10375,2022-01-01,55,뇌병변장애,중증,인천 계양구,경영·행정·사무직
10376,2022-01-01,22,지적장애,중증,인천 계양구,화학·환경 설치·정비·생산직
10377,2022-01-01,23,자폐성장애,중증,인천 계양구,음식 서비스직
10378,2022-01-01,22,지적장애,중증,인천 계양구,음식 서비스직
10379,2022-01-01,51,지체장애,경증,인천 계양구,경영·행정·사무직
10380,2022-01-01,26,자폐성장애,중증,인천 계양구,화학·환경 설치·정비·생산직
10381,2022-01-01,26,지적장애,중증,인천 계양구,화학·환경 설치·정비·생산직
10382,2022-01-01,29,지적장애,중증,인천 계양구,화학·환경 설치·정비·생산직
10383,2022-01-01,29,지적장애,중증,인천 계양구,음식 서비스직
10384,2022-01-01,38,정신장애,중증,인천 계양구,음식 서비스직
10385,2022-01-01,30,지적장애,중증,인천 계양구,경영·행정·사무직
10386,2022-01-01,29,뇌전증장애,경증,인천 계양구,경영·행정·사무직
10387,2022-01-01,21,자폐성장애,중증,인천 계양구,화학·환경 설치·정비·생산직
10388,2022-01-01,24,자폐성장애,중증,인천 계양구,화학·환경 설치·정비·생산직
10389,2022-01-01,52,언어장애,경증,인천 계양구,경영·행정·사무직
10390,2022-01-01,44,뇌병변장애,중증,인천 계양구,경영·행정·사무직
10391,2022-01-01,36,지적장애,중증,인천 계양구,화학·환경 설치·정비·생산직
10392,2022-01-01,68,지체장애,경증,인천 계양구,경영·행정·사무직
10393,2022-01-01,37,뇌병변장애,중증,인천 서구,경영·행정·사무직
10394,2022-01-01,58,지체장애,중증,인천 계양구,경영·행정·사무직
10395,2022-01-01,67,시각장애,중증,인천 계양구,청소 및 기타 개인서비스직
10396,2022-01-01,32,지적장애,중증,인천 계양구,경영·행정·사무직
10397,2022-01-01,32,지적장애,중증,인천 계양구,화학·환경 설치·정비·생산직
10398,2022-01-01,31,지적장애,중증,인천 계양구,화학·환경 설치·정비·생산직
10399,2022-01-01,48,뇌병변장애,중증,인천 계양구,청소 및 기타 개인서비스직
10400,2022-01-01,52,지체장애,경증,인천 계양구,경영·행정·사무직
10401,2022-01-01,49,시각장애,중증,인천 계양구,청소 및 기타 개인서비스직
10402,2022-11-23,26,지적장애,중증,대구 달서구,제조 단순직
10403,2022-11-23,26,지적장애,중증,대구 달서구,제조 단순직
10404,2022-11-17,57,언어장애,경증,대구 달서구,제조 단순직
10405,2022-04-04,61,지체장애,경증,경기 포천시,관리직(임원·부서장)
10406,2022-09-01,65,뇌병변장애,중증,경기 수원시 권선구,경영·행정·사무직
10407,2022-09-01,63,시각장애,경증,경기 수원시 권선구,청소 및 기타 개인서비스직
10408,2022-03-28,19,지적장애,중증,서울 종로구,경영·행정·사무직
10409,2022-12-12,55,지체장애,중증,서울 종로구,경영·행정·사무직
10410,2022-12-12,53,신장장애,중증,서울 종로구,경영·행정·사무직
10411,2022-07-07,30,지체장애,중증,서울 종로구,경영·행정·사무직
10412,2022-07-07,44,청각장애,중증,서울 종로구,경영·행정·사무직
10413,2022-07-07,43,청각장애,중증,서울 종로구,경영·행정·사무직
10414,2022-07-07,42,뇌병변장애,중증,서울 종로구,경영·행정·사무직
10415,2022-04-11,36,신장장애,중증,서울 종로구,경영·행정·사무직
10416,2022-03-01,50,청각장애,중증,서울 종로구,경영·행정·사무직
10417,2022-03-01,42,청각장애,중증,서울 종로구,경영·행정·사무직
10418,2022-05-02,53,지체장애,중증,경남 창원시 마산회원구,청소 및 기타 개인서비스직
10419,2022-05-25,56,지체장애,경증,강원 동해시,운전·운송직
10420,2022-10-17,42,국가유공,경증,울산 남구,건설·채굴직
10421,2022-08-23,50,지체장애,경증,경북 청도군,제조 단순직
10422,2022-06-01,49,지체장애,경증,서울 강서구,기계 설치·정비·생산직
10423,2022-05-16,39,정신장애,중증,서울 강남구,영업·판매직
10424,2022-04-17,19,지적장애,중증,경기 평택시,영업·판매직
10425,2022-04-20,20,지적장애,중증,경북 포항시 북구,영업·판매직
10426,2022-04-20,20,지적장애,중증,경북 포항시 북구,영업·판매직
10427,2022-02-14,37,정신장애,중증,서울 강남구,영업·판매직
10428,2022-09-13,34,시각장애,경증,전남 구례군,경영·행정·사무직
10429,2022-02-07,34,시각장애,경증,전남 구례군,청소 및 기타 개인서비스직
10430,2022-01-11,23,지적장애,중증,전남 구례군,경영·행정·사무직
10431,2022-01-04,30,지적장애,중증,전남 구례군,경영·행정·사무직
10432,2022-01-04,26,지적장애,중증,전남 구례군,경영·행정·사무직
10433,2022-01-04,24,지적장애,중증,전남 구례군,경영·행정·사무직
10434,2022-01-04,75,지체장애,경증,전남 구례군,경영·행정·사무직
10435,2022-01-04,81,지체장애,경증,전남 구례군,경영·행정·사무직
10436,2022-01-04,78,지체장애,경증,전남 구례군,경영·행정·사무직
10437,2022-01-04,81,지체장애,경증,전남 구례군,경영·행정·사무직
10438,2022-01-04,77,지체장애,경증,전남 구례군,경영·행정·사무직
10439,2022-01-04,70,지체장애,중증,전남 구례군,경영·행정·사무직
10440,2022-01-04,76,지체장애,경증,전남 구례군,경영·행정·사무직
10441,2022-01-04,80,청각장애,경증,전남 구례군,경영·행정·사무직
10442,2022-01-04,38,정신장애,중증,전남 구례군,경영·행정·사무직
10443,2022-01-04,69,지체장애,경증,전남 구례군,경영·행정·사무직
10444,2022-01-11,82,지체장애,경증,전남 구례군,경영·행정·사무직
10445,2022-01-04,43,시각장애,경증,전남 구례군,경영·행정·사무직
10446,2022-01-04,41,정신장애,중증,전남 구례군,경영·행정·사무직
10447,2022-01-04,34,지적장애,중증,전남 구례군,경영·행정·사무직
10448,2022-01-04,44,지적장애,중증,전남 구례군,경영·행정·사무직
10449,2022-01-04,37,지체장애,중증,전남 구례군,경영·행정·사무직
10450,2022-01-04,49,지체장애,경증,전남 구례군,경영·행정·사무직
10451,2022-01-04,70,지체장애,경증,전남 구례군,경영·행정·사무직
10452,2022-01-04,48,지적장애,중증,전남 구례군,경영·행정·사무직
10453,2022-01-04,74,지체장애,경증,전남 구례군,경영·행정·사무직
10454,2022-01-04,78,청각장애,중증,전남 구례군,경영·행정·사무직
10455,2022-01-04,84,청각장애,중증,전남 구례군,경영·행정·사무직
10456,2022-01-04,79,지체장애,경증,전남 구례군,경영·행정·사무직
10457,2022-01-04,83,지체장애,경증,전남 구례군,경영·행정·사무직
10458,2022-01-04,67,지체장애,경증,전남 구례군,경영·행정·사무직
10459,2022-01-04,76,지체장애,경증,전남 구례군,경영·행정·사무직
10460,2022-01-04,75,지체장애,경증,전남 구례군,경영·행정·사무직
10461,2022-01-04,24,지적장애,중증,전남 구례군,경영·행정·사무직
10462,2022-01-04,54,뇌병변장애,중증,전남 구례군,경영·행정·사무직
10463,2022-01-04,74,지체장애,경증,전남 구례군,경영·행정·사무직
10464,2022-01-04,44,시각장애,경증,전남 구례군,경영·행정·사무직
10465,2022-01-04,44,정신장애,중증,전남 구례군,경영·행정·사무직
10466,2022-01-04,53,뇌병변장애,중증,전남 구례군,경영·행정·사무직
10467,2022-01-04,83,청각장애,경증,전남 구례군,경영·행정·사무직
10468,2022-01-04,83,지체장애,경증,전남 구례군,경영·행정·사무직
10469,2022-01-04,74,지체장애,경증,전남 구례군,경영·행정·사무직
10470,2022-01-04,27,지적장애,중증,전남 구례군,경영·행정·사무직
10471,2022-01-04,80,지체장애,중증,전남 구례군,경영·행정·사무직
10472,2022-01-04,73,지체장애,경증,전남 구례군,경영·행정·사무직
10473,2022-01-04,43,정신장애,중증,전남 구례군,경영·행정·사무직
10474,2022-01-04,63,지체장애,경증,전남 구례군,경영·행정·사무직
10475,2022-01-04,75,청각장애,경증,전남 구례군,경영·행정·사무직
10476,2022-01-04,76,지체장애,경증,전남 구례군,경영·행정·사무직
10477,2022-01-04,55,시각장애,중증,전남 구례군,경영·행정·사무직
10478,2022-08-16,56,지체장애,경증,서울 구로구,청소 및 기타 개인서비스직
10479,2022-05-01,60,지체장애,경증,서울 구로구,청소 및 기타 개인서비스직
10480,2022-06-13,60,지체장애,경증,서울 구로구,청소 및 기타 개인서비스직
10481,2022-04-08,62,청각장애,경증,서울 구로구,청소 및 기타 개인서비스직
10482,2022-02-14,54,시각장애,경증,서울 구로구,청소 및 기타 개인서비스직
10483,2022-03-11,35,지체장애,경증,서울 구로구,청소 및 기타 개인서비스직
10484,2022-05-02,48,지체장애,경증,경남 김해시,운전·운송직
10485,2022-06-01,55,지체장애,경증,충남 당진시,사회복지·종교직
10486,2022-05-23,51,지체장애,경증,충남 당진시,관리직(임원·부서장)
10487,2022-08-16,30,지적장애,중증,서울 금천구,경영·행정·사무직
10488,2022-09-19,58,지체장애,중증,서울 강남구,청소 및 기타 개인서비스직
10489,2022-02-01,57,지체장애,경증,서울 강남구,경호·경비직
10490,2022-09-01,67,지체장애,경증,경남 창원시,청소 및 기타 개인서비스직
10491,2022-07-26,65,지체장애,경증,경남 김해시,경호·경비직
10492,2022-07-29,68,지체장애,경증,부산 부산진구,경호·경비직
10493,2022-05-01,64,청각장애,경증,부산 북구,청소 및 기타 개인서비스직
10494,2022-04-01,64,지체장애,경증,경남 김해시,청소 및 기타 개인서비스직
10495,2022-04-01,66,지체장애,경증,경남 창원시,청소 및 기타 개인서비스직
10496,2022-07-10,61,지체장애,경증,경남 창원시,경호·경비직
10497,2022-06-01,61,시각장애,경증,경남 창원시,경호·경비직
10498,2022-06-29,63,지체장애,경증,경남 거제시,경호·경비직
10499,2022-07-01,65,지체장애,경증,경남 거제시,경호·경비직
10500,2022-04-01,64,지체장애,경증,경남 창원시,경호·경비직
10501,2022-06-29,62,지체장애,경증,경남 거제시,경호·경비직
10502,2022-01-01,64,뇌병변장애,중증,경남 양산시,경호·경비직
10503,2022-01-01,46,지체장애,경증,경기 화성시,제조 단순직
10504,2022-02-14,63,청각장애,경증,부산 사상구,청소 및 기타 개인서비스직
10505,2022-02-01,59,시각장애,경증,경남 창원시,경호·경비직
10506,2022-02-22,53,지체장애,경증,경남 창원시,경호·경비직
10507,2022-02-22,55,청각장애,경증,대구 북구,경호·경비직
10508,2022-03-01,66,시각장애,경증,대구 달서구,경호·경비직
10509,2022-02-01,69,신장장애,중증,경남 창원시,경호·경비직
10510,2022-02-01,64,지체장애,중증,경남 창원시,경호·경비직
10511,2022-01-20,70,지체장애,경증,경기 화성시,경호·경비직
10512,2022-03-02,61,청각장애,경증,부산 북구,청소 및 기타 개인서비스직
10513,2022-02-07,77,지체장애,경증,경남 사천시,청소 및 기타 개인서비스직
10514,2022-03-01,64,지체장애,경증,경남 김해시,경호·경비직
10515,2022-02-21,65,뇌병변장애,경증,경남 창원시,경호·경비직
10516,2022-02-03,64,뇌병변장애,중증,경남 김해시,경호·경비직
10517,2022-01-01,42,지적장애,중증,충북 충주시,인쇄·목재·공예 및 기타 설치·정비·생산직
10518,2022-01-01,38,지적장애,중증,충북 충주시,청소 및 기타 개인서비스직
10519,2022-01-01,40,지적장애,중증,충북 충주시,인쇄·목재·공예 및 기타 설치·정비·생산직
10520,2022-01-01,39,지적장애,중증,충북 충주시,인쇄·목재·공예 및 기타 설치·정비·생산직
10521,2022-06-06,47,시각장애,경증,전북 전주시,보건·의료직
10522,2022-12-19,47,시각장애,중증,서울 관악구,보건·의료직
10523,2022-06-08,27,시각장애,경증,서울 관악구,청소 및 기타 개인서비스직
10524,2022-05-23,44,시각장애,중증,서울 관악구,청소 및 기타 개인서비스직
10525,2022-05-23,50,시각장애,중증,서울 관악구,청소 및 기타 개인서비스직
10526,2022-01-01,68,시각장애,중증,서울 관악구,보건·의료직
10527,2022-01-01,74,시각장애,중증,서울 관악구,보건·의료직
10528,2022-01-01,73,시각장애,중증,서울 관악구,보건·의료직
10529,2022-01-01,66,시각장애,중증,서울 관악구,보건·의료직
10530,2022-01-01,72,시각장애,중증,서울 관악구,보건·의료직
10531,2022-01-01,65,시각장애,중증,서울 관악구,보건·의료직
10532,2022-01-01,65,시각장애,중증,서울 관악구,보건·의료직
10533,2022-01-01,62,시각장애,중증,서울 관악구,보건·의료직
10534,2022-01-01,70,시각장애,중증,서울 관악구,보건·의료직
10535,2022-01-01,61,시각장애,중증,서울 관악구,보건·의료직
10536,2022-01-01,60,시각장애,중증,서울 관악구,보건·의료직
10537,2022-01-01,67,시각장애,중증,서울 관악구,보건·의료직
10538,2022-01-01,62,시각장애,중증,서울 관악구,보건·의료직
10539,2022-01-01,62,시각장애,중증,서울 관악구,보건·의료직
10540,2022-01-01,71,시각장애,중증,서울 관악구,보건·의료직
10541,2022-01-01,70,시각장애,중증,서울 관악구,보건·의료직
10542,2022-01-01,51,시각장애,중증,서울 관악구,보건·의료직
10543,2022-01-01,72,시각장애,중증,서울 관악구,보건·의료직
10544,2022-01-01,67,시각장애,중증,서울 관악구,보건·의료직
10545,2022-01-01,58,시각장애,중증,서울 관악구,보건·의료직
10546,2022-01-01,66,시각장애,중증,서울 관악구,보건·의료직
10547,2022-01-01,56,시각장애,중증,서울 관악구,보건·의료직
10548,2022-01-01,71,시각장애,중증,서울 관악구,보건·의료직
10549,2022-01-01,62,시각장애,중증,서울 관악구,보건·의료직
10550,2022-01-01,61,시각장애,중증,서울 관악구,보건·의료직
10551,2022-01-01,53,시각장애,중증,서울 관악구,보건·의료직
10552,2022-01-01,54,시각장애,중증,서울 관악구,보건·의료직
10553,2022-01-01,65,시각장애,중증,서울 관악구,보건·의료직
10554,2022-01-01,71,시각장애,중증,서울 관악구,보건·의료직
10555,2022-01-01,61,시각장애,중증,서울 관악구,보건·의료직
10556,2022-01-01,70,시각장애,중증,서울 관악구,보건·의료직
10557,2022-03-14,29,시각장애,중증,서울 관악구,경영·행정·사무직
10558,2022-03-15,52,시각장애,중증,서울 관악구,청소 및 기타 개인서비스직
10559,2022-02-01,60,지체장애,경증,경기 의정부시,제조 단순직
10560,2022-01-10,49,지체장애,경증,인천 남동구,인쇄·목재·공예 및 기타 설치·정비·생산직
10561,2022-09-01,33,지적장애,중증,서울 용산구,경영·행정·사무직
10562,2022-05-01,24,자폐성장애,중증,서울 용산구,경영·행정·사무직
10563,2022-10-04,51,청각장애,중증,경기 시흥시,전기·전자 설치·정비·생산직
10564,2022-10-06,20,지적장애,중증,경기 시흥시,전기·전자 설치·정비·생산직
10565,2022-09-28,39,지적장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10566,2022-09-28,23,자폐성장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10567,2022-08-22,39,지적장애,중증,경기 시흥시,전기·전자 설치·정비·생산직
10568,2022-10-07,40,지적장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10569,2022-11-28,18,지적장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10570,2022-10-07,21,지적장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10571,2022-11-14,27,지적장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10572,2022-10-07,26,지적장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10573,2022-12-05,22,정신장애,경증,경기 시흥시,전기·전자 설치·정비·생산직
10574,2022-12-01,18,지적장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10575,2022-10-06,27,지적장애,중증,경기 시흥시,전기·전자 설치·정비·생산직
10576,2022-12-19,23,자폐성장애,중증,경기 시흥시,전기·전자 설치·정비·생산직
10577,2022-12-05,40,정신장애,중증,경기 시흥시,전기·전자 설치·정비·생산직
10578,2022-05-16,42,청각장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10579,2022-06-20,35,지적장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10580,2022-01-19,27,정신장애,중증,경기 시흥시,청소 및 기타 개인서비스직
10581,2022-03-14,37,지적장애,중증,경기 시흥시,제조 단순직
10582,2022-07-11,33,지체장애,경증,경기 안산시,교육직
10583,2022-06-27,39,시각장애,경증,경기 안산시,보건·의료직
10584,2022-01-05,46,언어장애,경증,대구 서구,기계 설치·정비·생산직
10585,2022-11-01,54,지체장애,중증,경북 포항시 남구,청소 및 기타 개인서비스직
10586,2022-06-13,22,지적장애,중증,경북 포항시,청소 및 기타 개인서비스직
10587,2022-02-04,54,지체장애,중증,경북 포항시 남구,음식 서비스직
10588,2022-03-10,30,지적장애,중증,경북 포항시 남구,청소 및 기타 개인서비스직
10589,2022-11-21,53,지체장애,중증,경기 김포시,전기·전자 설치·정비·생산직
10590,2022-07-04,28,지적장애,중증,경기 고양시 일산서구,전기·전자 설치·정비·생산직
10591,2022-07-04,23,지적장애,중증,경기 고양시 일산서구,전기·전자 설치·정비·생산직
10592,2022-07-04,30,지적장애,중증,경기 고양시 일산서구,전기·전자 설치·정비·생산직
10593,2022-06-02,26,자폐성장애,중증,경기 고양시 일산서구,제조 단순직
10594,2022-07-04,24,지적장애,중증,경기 고양시 일산서구,전기·전자 설치·정비·생산직
10595,2022-07-04,50,지체장애,중증,경기 고양시 일산서구,전기·전자 설치·정비·생산직
10596,2022-04-21,36,지체장애,경증,경기 광주시,경영·행정·사무직
10597,2022-09-01,20,지적장애,중증,경기 안양시 만안구,돌봄 서비스직(간병·육아)
10598,2022-04-25,31,지체장애,경증,충북 청주시 청원구,경영·행정·사무직
10599,2022-01-03,20,지적장애,중증,강원 원주시,청소 및 기타 개인서비스직
10600,2022-10-31,34,지적장애,중증,인천 서구,청소 및 기타 개인서비스직
10601,2022-06-10,30,정신장애,중증,경기 용인시,경영·행정·사무직
10602,2022-05-11,26,정신장애,중증,서울 강남구,경영·행정·사무직
10603,2022-07-04,22,언어장애,경증,충남 당진시,경영·행정·사무직
10604,2022-05-11,37,안면장애,중증,울산 울주군,청소 및 기타 개인서비스직
10605,2022-07-07,34,신장장애,경증,서울 강북구,경영·행정·사무직
10606,2022-04-08,21,지적장애,중증,서울 영등포구,경영·행정·사무직
10607,2022-01-02,62,지체장애,경증,울산 북구,청소 및 기타 개인서비스직
10608,2022-07-13,59,지체장애,중증,충북 진천군,스포츠·레크리에이션직
10609,2022-09-01,57,지체장애,중증,충북 진천군,스포츠·레크리에이션직
10610,2022-09-01,59,지체장애,중증,충북 진천군,스포츠·레크리에이션직
10611,2022-10-07,48,지체장애,중증,충북 진천군,스포츠·레크리에이션직
10612,2022-09-01,49,뇌병변장애,중증,충북 진천군,스포츠·레크리에이션직
10613,2022-09-01,57,지체장애,중증,충북 진천군,스포츠·레크리에이션직
10614,2022-09-01,49,뇌병변장애,중증,충북 진천군,스포츠·레크리에이션직
10615,2022-06-27,46,청각장애,중증,충북 진천군,제조 단순직
10616,2022-06-01,55,지체장애,경증,경기 양주시,청소 및 기타 개인서비스직
10617,2022-07-01,39,청각장애,중증,충북 진천군,스포츠·레크리에이션직
10618,2022-07-01,51,지체장애,경증,충북 진천군,스포츠·레크리에이션직
10619,2022-06-07,49,청각장애,중증,충북 진천군,기계 설치·정비·생산직
10620,2022-05-18,46,지체장애,중증,충북 청주시 흥덕구,경영·행정·사무직
10621,2022-05-02,22,청각장애,경증,충북 진천군,기계 설치·정비·생산직
10622,2022-03-28,32,청각장애,중증,충북 진천군,기계 설치·정비·생산직
10623,2022-02-01,55,신장장애,중증,경북 포항시,전기·전자 설치·정비·생산직
10624,2022-11-14,24,지적장애,중증,경기 안양시 만안구,스포츠·레크리에이션직
10625,2022-03-01,33,지적장애,중증,경기 안양시 만안구,스포츠·레크리에이션직
10626,2022-03-01,28,지적장애,중증,경기 안양시 만안구,스포츠·레크리에이션직
10627,2022-03-01,28,지적장애,중증,경기 안양시 만안구,스포츠·레크리에이션직
10628,2022-03-01,27,지적장애,중증,경기 안양시 만안구,스포츠·레크리에이션직
10629,2022-10-18,48,언어장애,경증,인천 남동구,제조 단순직
10630,2022-10-18,43,언어장애,경증,인천 남동구,제조 단순직
10631,2022-11-01,39,지적장애,중증,인천 남동구,제조 단순직
10632,2022-04-01,56,시각장애,경증,울산 남구,농림어업직
10633,2022-04-01,60,지체장애,경증,울산 남구,농림어업직
10634,2022-01-01,71,지체장애,경증,울산 중구,경영·행정·사무직
10635,2022-01-01,72,국가유공,경증,울산 중구,경영·행정·사무직
10636,2022-01-12,32,정신장애,중증,울산 동구,경영·행정·사무직
10637,2022-01-08,63,지체장애,경증,울산 중구,건설·채굴직
10638,2022-02-01,45,뇌병변장애,경증,울산 중구,경영·행정·사무직
10639,2022-05-23,51,정신장애,중증,전북 김제시,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등)
10640,2022-01-01,38,뇌병변장애,중증,서울 은평구,사회복지·종교직
10641,2022-08-21,70,언어장애,경증,경기 시흥시,청소 및 기타 개인서비스직
10642,2022-06-09,62,청각장애,경증,경기 수원시,경영·행정·사무직
10643,2022-06-18,73,지체장애,경증,경기 의왕시,청소 및 기타 개인서비스직
10644,2022-05-26,64,시각장애,경증,서울 송파구,청소 및 기타 개인서비스직
10645,2022-05-01,74,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10646,2022-04-25,61,신장장애,중증,서울 강남구,청소 및 기타 개인서비스직
10647,2022-05-01,71,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10648,2022-07-01,71,시각장애,경증,경기 수원시 영통구,경호·경비직
10649,2022-06-01,65,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10650,2022-04-01,71,뇌병변장애,경증,서울 강남구,청소 및 기타 개인서비스직
10651,2022-06-21,67,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10652,2022-04-05,68,뇌병변장애,경증,서울 강남구,청소 및 기타 개인서비스직
10653,2022-04-04,56,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10654,2022-05-24,62,시각장애,경증,서울 송파구,청소 및 기타 개인서비스직
10655,2022-04-03,73,뇌병변장애,중증,서울 강남구,청소 및 기타 개인서비스직
10656,2022-04-19,66,지체장애,중증,서울 강남구,청소 및 기타 개인서비스직
10657,2022-05-14,70,지체장애,중증,서울 강남구,청소 및 기타 개인서비스직
10658,2022-04-01,66,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10659,2022-01-01,62,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10660,2022-01-01,66,시각장애,경증,서울 송파구,청소 및 기타 개인서비스직
10661,2022-01-01,68,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10662,2022-01-01,61,시각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10663,2022-01-01,56,뇌병변장애,경증,서울 강남구,청소 및 기타 개인서비스직
10664,2022-01-01,68,뇌병변장애,경증,서울 송파구,청소 및 기타 개인서비스직
10665,2022-01-01,76,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10666,2022-01-01,70,뇌병변장애,경증,서울 강남구,청소 및 기타 개인서비스직
10667,2022-01-01,73,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10668,2022-01-01,65,뇌병변장애,경증,서울 강남구,청소 및 기타 개인서비스직
10669,2022-01-01,66,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10670,2022-01-01,73,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10671,2022-01-01,74,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10672,2022-01-01,69,시각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10673,2022-01-01,69,뇌병변장애,경증,서울 송파구,청소 및 기타 개인서비스직
10674,2022-01-01,75,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10675,2022-01-01,69,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10676,2022-01-01,70,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10677,2022-01-01,67,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10678,2022-01-01,75,청각장애,경증,서울 송파구,청소 및 기타 개인서비스직
10679,2022-01-01,59,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10680,2022-01-01,69,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10681,2022-01-01,62,시각장애,경증,서울 송파구,청소 및 기타 개인서비스직
10682,2022-01-01,68,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10683,2022-01-01,73,시각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10684,2022-01-01,68,청각장애,중증,서울 송파구,청소 및 기타 개인서비스직
10685,2022-01-01,72,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10686,2022-01-01,63,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10687,2022-01-01,70,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10688,2022-01-01,67,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10689,2022-01-01,70,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10690,2022-01-01,74,시각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10691,2022-01-01,73,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10692,2022-01-01,67,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10693,2022-01-01,68,장루요루장애,경증,서울 강남구,청소 및 기타 개인서비스직
10694,2022-01-01,68,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10695,2022-01-01,73,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10696,2022-01-01,60,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10697,2022-01-01,75,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10698,2022-01-01,66,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10699,2022-01-01,69,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10700,2022-01-01,71,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10701,2022-01-01,61,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10702,2022-01-01,67,간장애,경증,서울 강남구,청소 및 기타 개인서비스직
10703,2022-01-01,65,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10704,2022-01-01,71,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10705,2022-01-01,71,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10706,2022-01-01,68,시각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10707,2022-01-01,56,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10708,2022-01-01,71,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10709,2022-01-01,69,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10710,2022-01-01,75,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10711,2022-01-01,71,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10712,2022-01-01,74,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10713,2022-01-01,66,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10714,2022-01-01,73,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10715,2022-01-01,69,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10716,2022-01-01,75,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10717,2022-01-01,69,청각장애,경증,서울 송파구,청소 및 기타 개인서비스직
10718,2022-01-01,68,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10719,2022-01-01,72,지체장애,경증,서울 송파구,청소 및 기타 개인서비스직
10720,2022-01-01,67,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10721,2022-01-01,69,시각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10722,2022-01-01,67,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10723,2022-01-01,73,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10724,2022-01-01,71,청각장애,경증,서울 강남구,청소 및 기타 개인서비스직
10725,2022-01-01,68,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
10726,2022-01-01,63,지체장애,경증,서울 강남구,청소 및 기타 개인서비스직
